customer_number,berlangganan_deposito
445420,0.22533053221431726
585604,0.13611315167567387
888824,0.12589051842371887
816820,0.11840226148632498
542716,0.32308505076533706
937852,0.10800774063108327
434084,0.28692651440414696
230861,0.20188050584724443
159684,0.9685525294497348
274159,0.30577518261684533
415073,0.3958503000002643
839604,0.9985920723187389
222848,0.23211735184692278
746851,0.24291043362662956
359083,0.14833283252348145
764740,0.4696127358706908
532666,0.32675207775962334
542489,0.21968905109131223
683800,0.4209624483668816
393880,0.11170601073200351
346443,0.4610089604849358
722690,0.1287403130507773
797639,0.3322225817167555
974186,0.9785427822548823
774649,0.34549154768572615
482188,0.6016010227045839
312516,0.24796057570790603
363861,0.31128679817550764
714683,0.46133601604853636
708370,0.35996301319476065
371413,0.14632195822899022
630217,0.20829654550194704
571146,0.6487534150440777
962328,0.2551841185499243
470375,0.13008907668628383
945629,0.1469756488233718
179592,0.12160029744186394
744791,0.3598112216355418
289641,0.9420589831260383
595829,0.3154902991735759
620262,0.9472057154861234
738283,0.22033834839362854
288862,0.97317145681136
854233,0.11345086782858202
401365,0.2206188609512771
671370,0.49880170710050703
307359,0.24208529841349666
845744,0.12949398594535275
833496,0.4142646017384668
889877,0.25002318414250174
600454,0.9789154746874053
595366,0.4268539723116496
299980,0.7272680984747915
316195,0.30881394341054175
892132,0.5100862372921309
429227,0.9664439537442377
568864,0.42520733667403754
453514,0.16749915427938106
655724,0.32424116228205585
405125,0.38135925858341
357624,0.26715215526936653
706564,0.26914329482353716
328177,0.44595068265898413
322194,0.21972591957088938
415259,0.2698819577609958
737899,0.6229788368128353
934827,0.16649592127387544
932482,0.17504092466317203
452141,0.19382021221127338
252326,0.1724399721438073
543165,0.11836620065189274
961597,0.26759104758864977
529109,0.1324722883737354
830645,0.44917165888691396
628282,0.22239836868381901
989235,0.8642868664979552
779931,0.2023426466864912
171152,0.9502790575833433
467849,0.1828751617659645
424751,0.38110200083390583
335651,0.24092449687779421
960826,0.21382253523510994
307645,0.26702551588427675
126669,0.09957034087576642
876278,0.1900837189168476
464099,0.22730978169372626
682185,0.16729050522873132
912996,0.1392774497013753
540820,0.2120975651383256
667534,0.1343769045971356
232173,0.41677374052796196
503340,0.24269044773736828
524302,0.7331791215174818
722557,0.12476589059890958
217598,0.20083083062974802
169002,0.448866007329721
651324,0.5446567184422972
663126,0.18188284476818886
621228,0.24297797938600335
963929,0.15723949087485176
809507,0.3707985323939225
453945,0.28511735952196277
743732,0.9799000569898252
385403,0.9941327216300786
241287,0.9675030372992101
737937,0.4758602828533771
125159,0.149774250330756
122370,0.1658179223257813
814180,0.1454372589709264
945339,0.25467807671380055
364136,0.23583930506358358
343072,0.510230912422839
938465,0.9368938877820967
149951,0.19918773838969306
222232,0.24248455647813782
832629,0.2265487841494791
296781,0.2577132429924795
748715,0.21260801299116508
604027,0.7749317525889613
859866,0.22993814783981212
792616,0.1251313071366701
465754,0.20221153595171185
678835,0.23988039831537472
998270,0.958283466791096
166767,0.12503441717002914
739982,0.36289459114107847
806252,0.18992669862474315
921673,0.5123723408681088
611081,0.7027017923877152
818716,0.3031946789763498
230739,0.10828285249580612
216209,0.497496404920963
516335,0.13224569420162666
644791,0.2659639646963839
176058,0.4388199964957065
979898,0.14364262241681508
503495,0.19058676376308745
878173,0.1502100509203299
722870,0.4282816143427994
724786,0.13146931441190926
659692,0.38684256576516196
159203,0.21930467698332803
155945,0.4502992791746278
277862,0.12537518520491017
873897,0.43482418019342206
445443,0.24813335522811455
818967,0.14478561975541462
478589,0.6865548881158272
991622,0.16916098416190248
511840,0.28464551647157815
459299,0.13627632199377865
822075,0.14775609690290614
523100,0.8938311470649762
304343,0.17342569621787043
221439,0.21878423470775973
818521,0.5952520011380993
728235,0.12120220107963638
917490,0.7635695426796
108047,0.37510174994774703
104801,0.23965122202985167
273368,0.9980042062303951
676406,0.22403806695760806
278995,0.487944839238629
112831,0.9966895175977402
601516,0.4988899112649164
296954,0.9837557598985257
982848,0.2772492156044239
428287,0.28883751625229936
679849,0.26646414175374994
744389,0.19854504749310095
558008,0.5303170558988742
861444,0.1855568766047166
826041,0.1275223239679679
869683,0.20022922517898156
800301,0.14218157628956457
590588,0.3512822289887293
476971,0.29071908713892824
897567,0.9243044977377073
710714,0.4636860896747524
791479,0.2721299571463602
198512,0.1931903256307709
726908,0.9902514491765623
465365,0.23249450219845008
487974,0.14353114072401882
103998,0.9942348842923967
450545,0.27924431702614066
700295,0.3538991171673796
592903,0.2695462127770475
740969,0.24314583903760964
545984,0.9929344874538493
792271,0.9808615111096802
638055,0.24087853940809228
905049,0.7315533632886815
769789,0.24672717948832656
285737,0.525217881428528
697928,0.17443112741344
539662,0.9864024194416301
426578,0.13975578461954874
914620,0.18482556215668752
122847,0.15068196581930415
448954,0.20480513436436817
664546,0.3147998503745632
252673,0.12131610797103878
379979,0.2034886579531819
739389,0.11726945399716948
896794,0.9376158514243536
922027,0.23327004753947372
788709,0.5201054044610997
226556,0.9134706253820641
635801,0.9500102582173381
724670,0.39942426846023255
456865,0.1938621097889457
789206,0.1593812132487121
713452,0.2045704894656703
503601,0.2689465167799056
694845,0.2623008179727895
699198,0.3085496368325174
871218,0.2059316267578929
701739,0.985818693672636
792667,0.26004923570937644
265126,0.34858287909442603
985164,0.23821415685841926
225460,0.13104217478106853
277911,0.6014372995779298
131758,0.3437086103461912
396481,0.17855882671462725
224647,0.23934388501663448
763141,0.3010149735537556
579637,0.29209132895033535
534004,0.2235526891740177
390471,0.35589901354864406
585692,0.13151231259547627
487001,0.16684467772853345
274990,0.260598228651665
676316,0.8023671182979193
468239,0.10973221881656892
212058,0.10400559117523951
967235,0.11221139453014252
464472,0.3440869999610828
269117,0.5625951246822819
582426,0.19802760702142683
576946,0.1369255536068174
932807,0.19012931413683076
689967,0.41822847975551775
189240,0.135030547960397
628987,0.11847535029313168
581662,0.13444865357547858
294999,0.1699539620588749
219955,0.23523687459951603
496583,0.5122265491397094
494591,0.19751223501492715
232619,0.3758534327565814
472050,0.8882238935169904
729890,0.9742447725424661
426399,0.236585068766243
322143,0.17443341533966972
110452,0.5881137811293403
183222,0.6996358446432462
913723,0.1478433623435365
830481,0.9023536877621039
378477,0.28223012682472737
296209,0.1606656978766112
190961,0.2937479547101453
230615,0.22042353218576413
267515,0.31355911587788116
373488,0.14715417970885164
978201,0.14035405679693774
477140,0.2742044285434022
485900,0.936371176971724
869092,0.2328121238404974
223766,0.18947417140130768
690418,0.21458511354029533
758624,0.8698142620378798
615065,0.3070032025664631
591932,0.10520803259547734
308745,0.11556115952122673
913671,0.2127569408269627
834323,0.1990741731403036
659254,0.7944762922762271
193611,0.20979165715634696
750025,0.9543724577946404
537106,0.11673840687456255
898654,0.1927750453375262
210175,0.23352010565144074
288396,0.2576714077749672
737836,0.28605631361623823
421587,0.24274393085130275
